,coef,se
Intercept,117.38696692499221,42.18264901511954
title_length,-0.0013234249363830626,0.000952784333295523
title_words,0.02197262926162099,0.0060063755037261975
title_chars_per_word,0.005221400649112202,0.0064708640159627994
has_question,-0.1401794053765274,0.03618370749772178
has_numbers,0.05462292661532808,0.03419396593221034
has_exclamation,-0.11132235352200517,0.10129833773248144
capitalization_ratio,0.011323512516451459,0.1388165441430812
all_caps_words,-0.049469504484213334,0.012881486288455516
number_count,-0.0012099017926686158,0.017172777940283036
sentiment_compound,-0.16908929950520238,0.05836025163056096
sentiment_positive,-117.53132033007216,42.17924509346773
sentiment_negative,-117.57422021098805,42.18493823447265
sentiment_neutral,-117.6162281016427,42.18278719532608
clickbait_patterns,-0.20634436180498367,0.19284772394529798
clickbait_keywords,-0.1028248767265795,0.18678657693330344
has_clickbait,0.10597696968247594,0.20287697439786073
